Sentence;Expected Annotations;Predicted Annotations;Precision;Recall;F1 Score
"Three nude athlete, the middle and right one standing facing, head left, raising right arm, the right, holding branch in left arm; opposite of them third athlete standing right, seen from behind, raising right arm, holding branch in left arm; between him and the other two a vessel.";[('athlete', 'PERSON', 'holding', 'palm branch', 'OBJECT'), ('athlete', 'PERSON', 'holding', 'palm branch', 'OBJECT')];[('athlete', 'PERSON', 'holding', 'branch', 'OBJECT')];0.0;0.0;0.0
Helle, seated_on on a ram, left.;[('Helle', 'PERSON', 'seated_on', 'naval ram', 'OBJECT')];[];0.0;0.0;0.0
"City gate, flanked by two tower with conical roof; above, gallery of seven arch; surmounted by nude Poseidon, advancing left, holding trident in outstretched right hand, Hippocampus twining around left arm; mark of value E.";[('Poseidon', 'PERSON', 'holding', 'trident', 'OBJECT'), ('hippocampus', 'ANIMAL', 'coiling', 'Poseidon', 'PERSON')];[];0.0;0.0;0.0
Dionysus standing facing, head left, holding bunch of grape in right hand and thyrsus in left arm, garment over left shoulder. Border of dots.;[('Dionysus', 'PERSON', 'holding', 'grape', 'PLANT'), ('Dionysus', 'PERSON', 'holding', 'thyrsus', 'OBJECT')];[('Dionysus', 'PERSON', 'holding', 'grape', 'PLANT'), ('Dionysus', 'PERSON', 'holding', 'thyrsus', 'OBJECT')];1.0;1.0;1.0
"Radiate bust of Severus Alexander, right, seen from front, wearing cuirass and paludamentum; gorgoneion on breastplate.";[('Severus Alexander', 'PERSON', 'wearing', 'cuirass', 'OBJECT'), ('Severus Alexander', 'PERSON', 'wearing', 'paludamentum', 'OBJECT')];[('Severus Alexander', 'PERSON', 'wearing', 'cuirass', 'OBJECT'), ('Severus Alexander', 'PERSON', 'wearing', 'paludamentum', 'OBJECT')];1.0;1.0;1.0
Head of bearded Byzas, right, wearing crested helmet with open visor. Border of dots.;[('Byzas', 'PERSON', 'wearing', 'helmet', 'OBJECT')];[('Byzas', 'PERSON', 'wearing', 'helmet', 'OBJECT')];1.0;1.0;1.0
"Bearded river-god resting_on left, holding branch in raised right hand, leftresting_on onwater urn; between two reed, whose crones incline towards each other; in background city wall with three tower. Border of dots.";[('river-god', 'PERSON', 'holding', 'branch', 'OBJECT'), ('river-god', 'PERSON', 'resting_on', 'water urn', 'OBJECT')];[('river-god', 'PERSON', 'holding', 'branch', 'OBJECT')];1.0;1.0;1.0
Nude wreath Apollo standing facing, head left, holding laurel branch in outstretched right hand and bow in lowered left hand. Ground line. Border of dots.;[('Apollo', 'PERSON', 'holding', 'laurel branch', 'OBJECT'), ('Apollo', 'PERSON', 'holding', 'bow', 'OBJECT')];[('Apollo', 'PERSON', 'holding', 'laurel branch', 'OBJECT'), ('Apollo', 'PERSON', 'holding', 'bow', 'OBJECT')];1.0;1.0;1.0
"Nude Apollo standing right, seen from behind, cloth over left shoulder, holding laurel branch in lowered right hand; at left, behind him, laurel tree and at right, in front of him, bow and quiver. Ground line. Border of dots.";[('Apollo', 'PERSON', 'holding', 'laurel branch', 'OBJECT')];[('Apollo', 'PERSON', 'holding', 'laurel branch', 'OBJECT'), ('Apollo', 'PERSON', 'holding', 'bow', 'OBJECT'), ('Apollo', 'PERSON', 'holding', 'quiver', 'OBJECT')];0.3333333333333333;1.0;0.5
"Ares standing left, wearing helmet, holding patera and spear; at his foot, shield.";[('Ares', 'PERSON', 'wearing', 'helmet', 'OBJECT'), ('Ares', 'PERSON', 'holding', 'patera', 'OBJECT'), ('Ares', 'PERSON', 'holding', 'double spear', 'OBJECT')];[('Ares', 'PERSON', 'wearing', 'helmet', 'OBJECT'), ('Ares', 'PERSON', 'holding', 'patera', 'OBJECT')];1.0;1.0;1.0
"Tower Cybele throne left seat with lion foot, holding patera in outstretched right hand, left armresting_on on tympanon; beside throne, lion lying to left.";[('Cybele', 'PERSON', 'holding', 'patera', 'OBJECT'), ('Cybele', 'PERSON', 'resting_on', 'tympanon', 'OBJECT')];[('Cybele', 'PERSON', 'holding', 'patera', 'OBJECT')];1.0;1.0;1.0
Eagle standing right on base, head left, with spread wing and holding laurel wreath in its beak, between two standard.;[('eagle-sceptre', 'OBJECT', 'holding', 'laurel wreath', 'OBJECT')];[];0.0;0.0;0.0
"Head of youthful Hermes, left, wearing a flat petasus tied below his chin; in front caduceus. In linear square.";[('Hermes', 'PERSON', 'wearing', 'petasus', 'OBJECT')];[('Hermes', 'PERSON', 'wearing', 'petasus', 'OBJECT')];1.0;1.0;1.0
Athena standing facing, head right, wearing Corinthian helmet, holding spear in right hand, on her outstretched left hand an owl, standing left. Ground line.;[('Athena', 'PERSON', 'wearing', 'helmet', 'OBJECT'), ('Athena', 'PERSON', 'holding', 'double spear', 'OBJECT')];[('Athena', 'PERSON', 'wearing', 'helmet', 'OBJECT')];1.0;1.0;1.0
Confronted bust of Philippus Arabs, wreath, wearing paludamentum, and of Otacilia Severa Severa, diadem and draped.;[('Philippus Arabs', 'PERSON', 'wearing', 'paludamentum', 'OBJECT')];[('Philippus Arabs', 'PERSON', 'wearing', 'paludamentum', 'OBJECT')];1.0;1.0;1.0
Head of Athena, right, wearing helmet.;[('Athena', 'PERSON', 'wearing', 'helmet', 'OBJECT')];[('Athena', 'PERSON', 'wearing', 'helmet', 'OBJECT')];1.0;1.0;1.0
"Bull standing left on dolphin, left, raising right forehoof; below, trident.";[('Apis bull', 'ANIMAL', 'standing', 'dolphin', 'ANIMAL')];[];0.0;0.0;0.0
Dionysus standing facing, wearing short chiton and boot, holding cantharus in right hand over panther seated_on left and long filleted thyrsus in left arm.;[('Dionysus', 'PERSON', 'wearing', 'chiton', 'OBJECT'), ('Dionysus', 'PERSON', 'wearing', 'boot', 'OBJECT'), ('Dionysus', 'PERSON', 'holding', 'cantharus', 'OBJECT'), ('Dionysus', 'PERSON', 'holding', 'thyrsus', 'OBJECT')];[('Dionysus', 'PERSON', 'wearing', 'chiton', 'OBJECT'), ('Dionysus', 'PERSON', 'wearing', 'boot', 'OBJECT'), ('Dionysus', 'PERSON', 'holding', 'cantharus', 'OBJECT'), ('Dionysus', 'PERSON', 'holding', 'thyrsus', 'OBJECT'), ('thyrsus', 'OBJECT', 'holding', 'cantharus', 'OBJECT')];0.8;1.0;0.888888888888889
Bearded river-god resting_on left, bare-chested, holding reed in slightly raised right hand, resting left arm on water urn.;[('river-god', 'PERSON', 'resting_on', 'water urn', 'OBJECT'), ('river-god', 'PERSON', 'holding', 'reed', 'PLANT')];[('river-god', 'PERSON', 'resting_on', 'water urn', 'OBJECT')];1.0;1.0;1.0
Veil Hera standing facing, head left, wearing kalathos and long garment, holding patera in outstretched right hand, leftresting_on on long scepter. Ground line. Border of dots.;[('Hera', 'PERSON', 'wearing', 'kalathos', 'OBJECT'), ('Hera', 'PERSON', 'wearing', 'garment', 'OBJECT'), ('Hera', 'PERSON', 'holding', 'patera', 'OBJECT')];[('Hera', 'PERSON', 'wearing', 'kalathos', 'OBJECT'), ('Hera', 'PERSON', 'wearing', 'garment', 'OBJECT'), ('Hera', 'PERSON', 'holding', 'patera', 'OBJECT')];1.0;1.0;1.0
"Wreath bust of bearded Geta, right, wearing scale cuirass and paludamentum; on back gorgoneion. Border of dots.";[('Geta', 'PERSON', 'wearing', 'scale', 'OBJECT'), ('Geta', 'PERSON', 'wearing', 'cuirass', 'OBJECT'), ('Geta', 'PERSON', 'wearing', 'paludamentum', 'OBJECT')];[('Geta', 'PERSON', 'wearing', 'scale cuirass', 'OBJECT'), ('Geta', 'PERSON', 'wearing', 'paludamentum', 'OBJECT')];0.5;1.0;0.6666666666666666
Nude wreath Apollo standing right, resting right hand on hip, leftresting_on on short garland column.;[('Apollo', 'PERSON', 'resting_on', 'column', 'OBJECT')];[];0.0;0.0;0.0
"Nude Apollo standing facing, head left, holding patera in outstretched right hand over altar and two corn in left hand; at his back, quiver.";[('Apollo', 'PERSON', 'holding', 'patera', 'OBJECT')];[('Apollo', 'PERSON', 'holding', 'patera', 'OBJECT')];1.0;1.0;1.0
"Nude bearded Heracles standing facing, head right, supporting club on ground with right hand, lion skin over right arm; holding dead hydra's tail in left hand.";[('Heracles', 'PERSON', 'holding', 'hydra', 'ANIMAL')];[];0.0;0.0;0.0
Nude infant Heracles kneeling right, seen from front, strangling a serpent in each hand. Ground line. Border of dots.;[('Heracles', 'PERSON', 'grasping', 'serpent staff', 'OBJECT')];[];0.0;0.0;0.0
Homonoia standing facing, head left, wearing kalathos, holding patera in outstretched right hand over altar and cornucopia in left arm.;[('Homonoia', 'PERSON', 'wearing', 'kalathos', 'OBJECT'), ('Homonoia', 'PERSON', 'holding', 'patera', 'OBJECT'), ('Homonoia', 'PERSON', 'holding', 'cornucopia', 'OBJECT')];[('Homonoia', 'PERSON', 'wearing', 'kalathos', 'OBJECT'), ('Homonoia', 'PERSON', 'holding', 'patera', 'OBJECT')];1.0;1.0;1.0
"Nude Hermes standing facing, head left, holding purse in right hand, caduceus in left arm; at his foot, left, lighted altar.";[('Hermes', 'PERSON', 'holding', 'purse', 'OBJECT')];[('Hermes', 'PERSON', 'holding', 'purse', 'OBJECT'), ('Hermes', 'PERSON', 'holding', 'caduceus', 'OBJECT')];0.5;1.0;0.6666666666666666
Hera Samios standing right on prow, right, holding poppy and ear of grain in outstretched right hand and scepter in the left hand. Border of dots.;[('Hera', 'PERSON', 'holding', 'poppy', 'PLANT')];[('Hera', 'PERSON', 'holding', 'poppy', 'PLANT'), ('Hera', 'PERSON', 'holding', 'ear', 'PLANT'), ('Hera', 'PERSON', 'holding', 'grain', 'PLANT')];0.3333333333333333;1.0;0.5
Forepart of a bull standing left on dolphin, left, raising right forehoof.;[('Apis bull', 'ANIMAL', 'standing', 'dolphin', 'ANIMAL')];[];0.0;0.0;0.0
"Three nude athlete with bound hair standing around a prize crown; the middle figure standing facing, head right, holding an apple in his raised right hand; the figure to left standing left on his tip-toes, head upwards, holding an object in his raised right hand; the figure to right bending right, holding an apple in his right hand.";[('athlete', 'PERSON', 'standing', 'Saturn', 'PERSON'), ('athlete', 'PERSON', 'holding', 'apple', 'PLANT'), ('athlete', 'PERSON', 'holding', 'object', 'OBJECT'), ('figure', 'PERSON', 'holding', 'apple', 'PLANT')];[];0.0;0.0;0.0
"Nike standing facing, head left, holding wreath in outstretched right hand and branch in left arm; behind, two monograms.";[('Athena', 'PERSON', 'holding', 'corn wreath', 'OBJECT'), ('Athena', 'PERSON', 'holding', 'palm branch', 'OBJECT')];[];0.0;0.0;0.0
"Nude Dionysus standing facing, head left, wearing boot, holding cantharus in right hand over cista mystica with half-open lid on the right, out of which serpent creeps right; pelleted and filleted thyrsus in left arm.";[('Dionysus', 'PERSON', 'wearing', 'boot', 'OBJECT'), ('Dionysus', 'PERSON', 'holding', 'cantharus', 'OBJECT')];[('Dionysus', 'PERSON', 'wearing', 'boot', 'OBJECT'), ('Dionysus', 'PERSON', 'holding', 'cantharus', 'OBJECT')];1.0;1.0;1.0
Bull standing left on dolphin, left, raising right forehoof.;[('Apis bull', 'ANIMAL', 'standing', 'dolphin', 'ANIMAL')];[];0.0;0.0;0.0
Zeus standing facing, head left, holding eagle over thymaterium and long scepter.;[('Zeus', 'PERSON', 'holding', 'eagle-sceptre', 'OBJECT')];[];0.0;0.0;0.0
Wreath bust of Trebonianus Gallus, right, wearing cuirass and paludamentum. Border of dots.;[('Trebonianus Gallus', 'PERSON', 'wearing', 'cuirass', 'OBJECT'), ('Trebonianus Gallus', 'PERSON', 'wearing', 'paludamentum', 'OBJECT')];[('Trebonianus Gallus', 'PERSON', 'wearing', 'cuirass', 'OBJECT'), ('Trebonianus Gallus', 'PERSON', 'wearing', 'paludamentum', 'OBJECT')];1.0;1.0;1.0
Emperor Septimius Severus in military attire standing facing, head left, wearing cuirass and boot, holding globe in outsteched right hand and inverted spear in left hand. Ground line.;[('Septimius Severus', 'PERSON', 'wearing', 'cuirass', 'OBJECT'), ('Septimius Severus', 'PERSON', 'wearing', 'boot', 'OBJECT'), ('Septimius Severus', 'PERSON', 'holding', 'globe', 'OBJECT')];[('Septimius Severus', 'PERSON', 'wearing', 'cuirass', 'OBJECT'), ('Septimius Severus', 'PERSON', 'wearing', 'boot', 'OBJECT')];1.0;1.0;1.0
"Banquet scene; man figure resting_on left on kline, placing his right hand on the left shoulder of a woman figure seated_on to right on the left edge of the kline, which has a three-legged table under it to right and two ornated legs to left, right leg with a twisted band around; in the left background, a tree upon which hangs a cuirass and beneath which man stands facing, head right, in short chiton placing his right hand on amphora to left; in the right background, forepart of a horse advancing left, lifting left hoof; in upper central field, shield.";[('figure', 'PERSON', 'resting_on', 'kline', 'OBJECT'), ('figure', 'PERSON', 'seated_on', 'kline', 'OBJECT')];[('figure', 'PERSON', 'seated_on', 'kline', 'OBJECT')];1.0;1.0;1.0
"Emperor Caracalla in military attire seated_on right on horse, wearing cuirass, fluttering paludamentum and boot, holding spear horizontally in lowered right hand; in front, captive seated_on left with Phrygian cap and bound arm behind back.";[('Caracalla', 'PERSON', 'wearing', 'cuirass', 'OBJECT'), ('Caracalla', 'PERSON', 'wearing', 'paludamentum', 'OBJECT'), ('Caracalla', 'PERSON', 'holding', 'double spear', 'OBJECT')];[];0.0;0.0;0.0
"Tower Tyche seated_on left on rock, holding corn in right hand, leftresting_on on rock; to right, behind her, cornucopia; to left, at foot, river-god swimming, left. Border of dots.";[('Tyche', 'PERSON', 'seated_on', 'rock', 'OBJECT'), ('Tyche', 'PERSON', 'resting_on', 'rock', 'OBJECT')];[('Tyche', 'PERSON', 'resting_on', 'rock', 'OBJECT'), ('Tyche', 'PERSON', 'resting_on', 'rock', 'OBJECT')];1.0;1.0;1.0
Ityphallic Hermes Imbramos standing right, holding patera over thymiaterion and branch in left hand behind him.;[('Hermes', 'PERSON', 'holding', 'patera', 'OBJECT'), ('Hermes', 'PERSON', 'holding', 'branch', 'OBJECT')];[('Hermes', 'PERSON', 'holding', 'patera', 'OBJECT')];1.0;1.0;1.0
Veil and draped bust of Demeter, right, wearing corn wreath, holding grain in raised left hand.;[('Demeter', 'PERSON', 'wearing', 'corn wreath', 'OBJECT')];[('Demeter', 'PERSON', 'wearing', 'corn wreath', 'OBJECT')];1.0;1.0;1.0
Wreath bust of Gallienus, right, wearing cuirass and paludamentum. Border of dots.;[('Gallienus', 'PERSON', 'wearing', 'cuirass', 'OBJECT'), ('Gallienus', 'PERSON', 'wearing', 'paludamentum', 'OBJECT')];[('Gallienus', 'PERSON', 'wearing', 'cuirass', 'OBJECT'), ('Gallienus', 'PERSON', 'wearing', 'paludamentum', 'OBJECT')];1.0;1.0;1.0
Cybele throne left, wearing calathus, holding patera in outstretched right hand over lion in front of her, seated_on left, resting left arm on tympanon.;[('Cybele', 'PERSON', 'holding', 'patera', 'OBJECT')];[('Cybele', 'PERSON', 'holding', 'patera', 'OBJECT'), ('Cybele', 'PERSON', 'resting_on', 'tympanon', 'OBJECT')];0.5;1.0;0.6666666666666666
Radiate bust of Macrinus, right, wearing cuirass and paludamentum. Border of dots.;[('Macrinus', 'PERSON', 'wearing', 'cuirass', 'OBJECT'), ('Macrinus', 'PERSON', 'wearing', 'paludamentum', 'OBJECT')];[('Macrinus', 'PERSON', 'wearing', 'cuirass', 'OBJECT'), ('Macrinus', 'PERSON', 'wearing', 'paludamentum', 'OBJECT')];1.0;1.0;1.0
"Athena advancing right, head left, wearing long garment, cloak and Corinthian helmet, holding spear with shield in left arm; in front a serpent coiling right. Short ground line. Border of dots.";[('Athena', 'PERSON', 'wearing', 'garment', 'OBJECT'), ('Athena', 'PERSON', 'wearing', 'cloak', 'OBJECT'), ('Athena', 'PERSON', 'wearing', 'helmet', 'OBJECT'), ('Athena', 'PERSON', 'holding', 'double spear', 'OBJECT'), ('Athena', 'PERSON', 'holding', 'shield', 'OBJECT')];[];0.0;0.0;0.0
Wreath bust of Antoninus Pius, right, wearing paludamentum.;[('Antoninus Pius', 'PERSON', 'wearing', 'paludamentum', 'OBJECT')];[('Antoninus Pius', 'PERSON', 'wearing', 'paludamentum', 'OBJECT')];1.0;1.0;1.0
"Nude Heracles seated_on left on rock, holding club in outstreched right hand, resting left arm on rock; in front of him, stag standing right.";[('Heracles', 'PERSON', 'seated_on', 'rock', 'OBJECT'), ('Heracles', 'PERSON', 'holding', 'club', 'OBJECT'), ('Heracles', 'PERSON', 'resting_on', 'rock', 'OBJECT')];[('Heracles', 'PERSON', 'resting_on', 'rock', 'OBJECT'), ('Heracles', 'PERSON', 'holding', 'club', 'OBJECT'), ('Heracles', 'PERSON', 'resting_on', 'rock', 'OBJECT')];1.0;1.0;1.0
Nude Marsyas standing right, left foot stepping forward, raising right arm, holding wine skin over left shoulder.;[('Marsyas', 'PERSON', 'holding', 'wine skin', 'OBJECT')];[('Marsyas', 'PERSON', 'holding', 'wine skin', 'OBJECT')];1.0;1.0;1.0
Head of Hermes, right, wearing brimless petasus.;[('Hermes', 'PERSON', 'wearing', 'petasus', 'OBJECT')];[('Hermes', 'PERSON', 'wearing', 'petasus', 'OBJECT')];1.0;1.0;1.0
Wreath bust of bearded Geta, right, wearing paludamentum on left shoulder.;[('Geta', 'PERSON', 'wearing', 'paludamentum', 'OBJECT')];[('Geta', 'PERSON', 'wearing', 'paludamentum', 'OBJECT')];1.0;1.0;1.0
"Athena Nikephoros throne left, wearing long garment and crested helmet, holding Nike, crowning king's name, in outstretched right hand; left armresting_on on shield behind, decorated with gorgoneion; in background, transverse spear; throne with lion foot and a serpent.";[('Athena', 'PERSON', 'wearing', 'garment', 'OBJECT'), ('Athena', 'PERSON', 'wearing', 'helmet', 'OBJECT'), ('Athena', 'PERSON', 'holding', 'Athena', 'PERSON'), ('Athena', 'PERSON', 'resting_on', 'shield', 'OBJECT')];[('Athena', 'PERSON', 'wearing', 'garment', 'OBJECT'), ('Athena', 'PERSON', 'wearing', 'helmet', 'OBJECT'), ('Athena', 'PERSON', 'resting_on', 'shield', 'OBJECT')];1.0;1.0;1.0
Nude Heracles advancing right, strangling lion.;[('Heracles', 'PERSON', 'grasping', 'bukephalion', 'OBJECT')];[];0.0;0.0;0.0
Tyche standing facing, head left, wearing long garment, holding globe in right hand and rudder downwards in left hand. Border of dots.;[('Tyche', 'PERSON', 'wearing', 'garment', 'OBJECT'), ('Tyche', 'PERSON', 'holding', 'globe', 'OBJECT'), ('Tyche', 'PERSON', 'holding', 'rudder', 'OBJECT')];[('Tyche', 'PERSON', 'wearing', 'garment', 'OBJECT'), ('Tyche', 'PERSON', 'holding', 'globe', 'OBJECT'), ('Tyche', 'PERSON', 'holding', 'rudder', 'OBJECT')];1.0;1.0;1.0
Dionysus wearing boot standing left, holding cantharus and filleted thyrsus, at his foot left panther advancing left, head right.;[('Dionysus', 'PERSON', 'wearing', 'boot', 'OBJECT'), ('Dionysus', 'PERSON', 'holding', 'cantharus', 'OBJECT'), ('Dionysus', 'PERSON', 'holding', 'thyrsus', 'OBJECT')];[('Dionysus', 'PERSON', 'holding', 'cantharus', 'OBJECT'), ('Dionysus', 'PERSON', 'holding', 'thyrsus', 'OBJECT'), ('boot', 'OBJECT', 'holding', 'thyrsus', 'OBJECT')];0.6666666666666666;1.0;0.8
"Nemesis standing facing, head left, holding cubit role in right hand; to left, at her foot, wheel.";[('Nemesis', 'PERSON', 'holding', 'cubit role', 'OBJECT')];[('Nemesis', 'PERSON', 'holding', 'cubit role', 'OBJECT')];1.0;1.0;1.0
"Athena standing facing, head right, wearing long garment and helmet; holding unidentified object in left hand and spear in right hand; on ground to left, shield. Ground line. Border of dots.";[('Athena', 'PERSON', 'wearing', 'garment', 'OBJECT'), ('Athena', 'PERSON', 'wearing', 'helmet', 'OBJECT'), ('Athena', 'PERSON', 'holding', 'object', 'OBJECT'), ('Athena', 'PERSON', 'holding', 'double spear', 'OBJECT')];[('Athena', 'PERSON', 'wearing', 'garment', 'OBJECT'), ('Athena', 'PERSON', 'wearing', 'helmet', 'OBJECT'), ('Athena', 'PERSON', 'holding', 'object', 'OBJECT'), ('Athena', 'PERSON', 'holding', 'shield', 'OBJECT')];0.75;1.0;0.8571428571428571
Artemis advancing left, wearing long garment, holding in each hand short torch upwards.;[('Artemis', 'PERSON', 'wearing', 'garment', 'OBJECT'), ('Artemis', 'PERSON', 'holding', 'torch', 'OBJECT')];[('Artemis', 'PERSON', 'wearing', 'garment', 'OBJECT'), ('Artemis', 'PERSON', 'holding', 'torch', 'OBJECT')];1.0;1.0;1.0
"Bearded river-god resting_on left, holding grape in raised right arm and reed in left arm; resting left arm on water urn.";[('river-god', 'PERSON', 'holding', 'grape', 'PLANT'), ('river-god', 'PERSON', 'holding', 'reed', 'PLANT'), ('river-god', 'PERSON', 'holding', 'branch', 'OBJECT'), ('river-god', 'PERSON', 'resting_on', 'water urn', 'OBJECT')];[('river-god', 'PERSON', 'holding', 'grape', 'PLANT')];1.0;1.0;1.0
Artemis standing facing, head right, wearing long garment and boot, holding bow in left hand and short torch in right hand, at her foot, hound to right. Border of dots.;[('Artemis', 'PERSON', 'wearing', 'garment', 'OBJECT'), ('Artemis', 'PERSON', 'wearing', 'boot', 'OBJECT'), ('Artemis', 'PERSON', 'holding', 'bow', 'OBJECT'), ('Artemis', 'PERSON', 'holding', 'torch', 'OBJECT')];[('Artemis', 'PERSON', 'wearing', 'garment', 'OBJECT'), ('Artemis', 'PERSON', 'wearing', 'boot', 'OBJECT'), ('Artemis', 'PERSON', 'holding', 'bow', 'OBJECT'), ('Artemis', 'PERSON', 'holding', 'torch', 'OBJECT')];1.0;1.0;1.0
Nude Apollo standing facing, head right, wearing chlamys, holding strap of the quiver in right hand and arrow and bow in left hand.;[('Apollo', 'PERSON', 'wearing', 'chlamys', 'OBJECT'), ('Apollo', 'PERSON', 'holding', 'quiver', 'OBJECT'), ('Apollo', 'PERSON', 'holding', 'arrow', 'OBJECT'), ('Apollo', 'PERSON', 'holding', 'bow', 'OBJECT')];[('Apollo', 'PERSON', 'wearing', 'chlamys', 'OBJECT'), ('Apollo', 'PERSON', 'holding', 'strap', 'OBJECT')];0.5;1.0;0.6666666666666666
Bust of Commodus, right, wearing cuirass and paludamentum. Border of dots.;[('Commodus', 'PERSON', 'wearing', 'cuirass', 'OBJECT'), ('Commodus', 'PERSON', 'wearing', 'paludamentum', 'OBJECT')];[('Commodus', 'PERSON', 'wearing', 'cuirass', 'OBJECT'), ('Commodus', 'PERSON', 'wearing', 'paludamentum', 'OBJECT')];1.0;1.0;1.0
Nude Dionysus standing facing, head left, wearing boot, holding cantharus in right hand and thyrsus in left arm. Border of dots.;[('Dionysus', 'PERSON', 'wearing', 'boot', 'OBJECT'), ('Dionysus', 'PERSON', 'holding', 'cantharus', 'OBJECT'), ('Dionysus', 'PERSON', 'holding', 'thyrsus', 'OBJECT')];[('Dionysus', 'PERSON', 'wearing', 'boot', 'OBJECT'), ('Dionysus', 'PERSON', 'holding', 'cantharus', 'OBJECT'), ('Dionysus', 'PERSON', 'holding', 'thyrsus', 'OBJECT')];1.0;1.0;1.0
"Tyche seated_on left on cippus, head right, holding corn in right hand, leftresting_on on cippus; at foot, left, swimming river-god, left.";[('Tyche', 'PERSON', 'seated_on', 'cippus', 'OBJECT'), ('Tyche', 'PERSON', 'resting_on', 'cippus', 'OBJECT')];[('Tyche', 'PERSON', 'resting_on', 'cippus', 'OBJECT'), ('Tyche', 'PERSON', 'resting_on', 'cippus', 'OBJECT')];1.0;1.0;1.0
"Wreath nymph of the Strymon region resting_on left, stripped to the waist, the outstretched right on a mountain ridge with a cave entrance, resting left arm on upturned water urn, from which flows water, embracing vine with grape and leafsresting_on over her head. On the mountain small naked genius climbing up right picking grape from the vine, next to him, ΒΟΤΡV; in front of the cave entrance a second naked genius to left with bag full of ore on the back, above him, ΑΡΓΥΡΟϹ; under the water springresting_on to left third naked Genius kneeling with hand gold from the water, above ΧΡΥϹΟϹ. In exergue, in a cornfield forth naked genius advancing and collecting corn ear, next to him ϹΤΡΑΧΥ. Ground line. Border of dots.";[('nymph', 'PERSON', 'resting_on', 'water urn', 'OBJECT')];[];0.0;0.0;0.0
"Emperor Caracalla in military attire, standing facing, head left, wearing cuirass, flattering paludamentum and boot, holding Nike on globe with laurel wreath and branch in right hand, resting raised left on scepter; to left, captive, seated_on left, wearing Phrygian cap.";[('Caracalla', 'PERSON', 'wearing', 'cuirass', 'OBJECT'), ('Caracalla', 'PERSON', 'wearing', 'paludamentum', 'OBJECT'), ('Caracalla', 'PERSON', 'wearing', 'boot', 'OBJECT'), ('Caracalla', 'PERSON', 'holding', 'Athena', 'PERSON')];[('Caracalla', 'PERSON', 'wearing', 'cuirass', 'OBJECT')];1.0;1.0;1.0
Europa seated_on right on bull standing left, head left, holding in both hand veil fluttering over her head.;[('Europa', 'PERSON', 'seated_on', 'Apis bull', 'ANIMAL'), ('Europa', 'PERSON', 'holding', 'veil', 'OBJECT')];[];0.0;0.0;0.0
"Bearded river-god Strymon seated_on left on rock, head right, resting left arm on water urn, holding long reed in right hand; naked Genius to lower right standing left, kneeling with hand gold from the water. Border of dots.";[('Strymon', 'PERSON', 'seated_on', 'rock', 'OBJECT'), ('Strymon', 'PERSON', 'resting_on', 'water urn', 'OBJECT'), ('Strymon', 'PERSON', 'holding', 'reed', 'PLANT')];[('Strymon', 'PERSON', 'seated_on', 'rock', 'OBJECT'), ('Strymon', 'PERSON', 'resting_on', 'water urn', 'OBJECT'), ('Strymon', 'PERSON', 'holding', 'reed', 'PLANT')];1.0;1.0;1.0
"Dionysus standing left, holding patera in right hand, in linear square; all within incuse square.";[('Dionysus', 'PERSON', 'holding', 'patera', 'OBJECT')];[('Dionysus', 'PERSON', 'holding', 'patera', 'OBJECT')];1.0;1.0;1.0
"Nude bearded Heracles standing right, strangling in both hand the attacking Nemean lion, left; in exergue, club. Ground line. Border of dots.";[('Heracles', 'PERSON', 'grasping', 'Nemean Lion', 'ANIMAL')];[];0.0;0.0;0.0
"Wing Nemesis standing facing, head left, plucking chiton with right hand at right shoulder, holding cubit role in left arm; at her foot, griffin seated_on left, head right.";[('Nemesis', 'PERSON', 'grasping', 'chiton', 'OBJECT'), ('Nemesis', 'PERSON', 'holding', 'cubit role', 'OBJECT')];[('Nemesis', 'PERSON', 'holding', 'cubit role', 'OBJECT')];1.0;1.0;1.0
"Artemis advancing right, head left, wearing short chiton and boot, holding bow in left hand, drawing arrow with right hand from quiver at shoulder; to right hound advancing right. Ground line. Border of dots.";[('Artemis', 'PERSON', 'wearing', 'chiton', 'OBJECT'), ('Artemis', 'PERSON', 'holding', 'bow', 'OBJECT'), ('Artemis', 'PERSON', 'holding', 'arrow', 'OBJECT')];[('Artemis', 'PERSON', 'wearing', 'chiton', 'OBJECT'), ('Artemis', 'PERSON', 'wearing', 'boot', 'OBJECT'), ('Artemis', 'PERSON', 'holding', 'bow', 'OBJECT'), ('Artemis', 'PERSON', 'holding', 'arrow', 'OBJECT')];0.75;1.0;0.8571428571428571
Demeter seated_on left on cista mystica, holding corn and torch.;[('Demeter', 'PERSON', 'seated_on', 'cista mystica', 'OBJECT'), ('Demeter', 'PERSON', 'holding', 'torch', 'OBJECT')];[('Demeter', 'PERSON', 'holding', 'torch', 'OBJECT')];1.0;1.0;1.0
"Nude Dionysus standing facing, head left, wearing ivy wreath, holding cantharus in right hand and thyrsus in left arm; at left, a panther seated_on left, head right, with raised forepaw. Ground line. Border of dots.";[('Dionysus', 'PERSON', 'wearing', 'ivy wreath', 'OBJECT'), ('Dionysus', 'PERSON', 'holding', 'thyrsus', 'OBJECT')];[('Dionysus', 'PERSON', 'wearing', 'ivy wreath', 'OBJECT'), ('Dionysus', 'PERSON', 'holding', 'cantharus', 'OBJECT'), ('Dionysus', 'PERSON', 'holding', 'thyrsus', 'OBJECT')];0.6666666666666666;1.0;0.8
